specimen,hook,length,base
t1.69,6,74.7,18.75
t1.69,7,74,21.17
t1.69,8,74.91,21.89
t1.69,9,75.93,23.48
t1.69,10,76.97,24.2
t1.69,11,76.27,25.03
t1.69,12,75.92,23.48
t1.69,13,73.87,22.54
t1.69,14,68.13,17.72
t1.69,15,54.64,11.45
t1.71,1,56.98,13.7
t1.71,2,62.9,15.54
t1.71,3,67.98,16.56
t1.71,4,66.68,16.78
t1.71,5,68.67,16.23
t1.71,6,69.48,20.64
t1.71,7,70.63,20.64
t1.71,8,70.3,19.41
t1.71,9,71.75,23.54
t1.71,10,71.07,23.05
t1.71,11,69.57,23.97
t1.71,12,69.88,24.67
t1.71,13,59.54,13.38
